Isim,KullaniciAdi,YorumSayisi,RetweetSayisi,BegeniSayisi,Tweet
Evohe,@evoheee,,,,"Olm gelsenize Türkiye çok güzel oldu artık tüp kuyrukları yok, asgari ücret olmuş 2300₺ niye direniyorsunuz istenmediğiniz yerde durmak iki yüzlülük değil mi(!)"
yenimuhalefet.com,@yenimuhalefet,,,1,“Asgari ücret insan onuruna yaraşır bir düzeye yükseltilmeli”
Aykut Salih Akkan,@AyktSalihAkkn09,,,,Asgari ücret en az 30 bin tl olsun vekillerin maaşoda 2500 olsun
Umut Gültekin,@umtgltkn1903,,,1,Arnavutluk’a 522 adet konut hediye etmişiz. Siz asgari ücret kaç TL olacak diye tartışmaya devam edin!
Fabrique in Turkey ,@MevzuNeKardes,,,,Taksiciler bile istediği zammı alıyor. Bizim asgari ücret için de işçi sendikası yerine taksiciler gitsin amk
Panama,@panamareis,,,,"#asgariucret 
tahminim asgari ücret 2706 tl olur ama yine geçen yıl yaptıklarını gibi JEST yaparlarsa acayip bir patlama olabilir o zaman 2716 tl kesin olur 
Jest olmasa geçinemeyiz"
ŞURA,@ulansura,,,,Asgari ücret isterseniz 5 bin olsun. Bu enflasyonla bi boka yaramaz.
Erzurum Ajans,@ERZURUMAJANS,,,,"Erdoğan'dan asgari ücret açıklaması
https://erzurumajans.com/erdogan-dan-asgari-ucret-aciklamasi_111286.html…"
Atilla Balkan,@AtillaBalkan,,,,O zamanlar asgari ücret 350 liraydı
(GT VAR),@sessizlik00_00,1,1,2,"Gt yap 
 Beraber takipçi kasalım
Yoruma çökün
Beraber büyütelim hesapları 
@Kedi633 @sessizlik00_00
@Kedi633 @sessizlik00_00
@sessizlik00_00 @Kedi633
@sessizlik00_00 @Kedi633
#takip #gt #Takiplesiyoruz #sınavagelmiyorum #asgariuecret #DemirtasİcinOEzguerluek"
